groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
AJK,23.0,3,0,29,7
AJK,23.0,3,0,28,8
AJK,23.0,0,0,30,10
AJK,23.0,0,0,35,6
AJK,23.0,3,0,24,12
AJK,23.0,1,0,37,4
AJK,23.0,0,0,31,8
AJK,23.0,3,0,27,9
AJK,23.0,2,0,31,7
AJK,23.0,2,0,30,8
AJK,23.0,2,0,36,4
AJK,23.0,3,0,30,6
AJK,23.0,2,0,32,6
AJK,23.0,0,0,40,3
AJK,23.0,4,0,26,9
AJK,23.0,3,0,26,10
AJK,23.0,1,0,36,5
AJK,23.0,2,0,29,10
AJK,23.0,2,0,37,3
AJK,23.0,0,0,37,5
AJK,23.0,3,0,40,2
AJK,23.0,2,0,33,5
AJK,23.0,0,0,29,11
AJK,23.0,2,0,26,14
AJK,23.0,0,0,32,7
AJK,23.0,0,0,42,2
AJK,23.0,3,0,44,0
AJK,23.0,3,0,25,11
AJK,23.0,0,0,28,12
AJK,23.0,2,0,27,11
AJK,23.0,3,0,41,1
